"bias_V","current_total_A_per_um"
"0.82630417831980929","7.1518975002318413e-05"
"0.82794406014616306","7.1858067896226715e-05"
"0.8298493646100934","7.2252203068175528e-05"
"0.83175291062762813","7.2646143498461156e-05"
"0.83365467529882109","7.3039882368213465e-05"
"0.83555463502772398","7.3433412857344638e-05"
"0.8374527653931525","7.3826728007288304e-05"
"0.8393490411191451","7.4219820714466387e-05"
"0.84124343604407292","7.4612683723535101e-05"
"0.84313592308830276","7.5005309620355373e-05"
"0.84502647422033383","7.5397690824673965e-05"
"0.84691506042132358","7.5789819582500095e-05"
"0.8488016516479161","7.6181687958158737e-05"
"0.85068621679327527","7.6573287826001233e-05"
"0.85256872364622593","7.6964610861756866e-05"
"0.85444913884839391","7.735564853349822e-05"
"0.85632742784923277","7.774639209220805e-05"
"0.85820355485881639","7.8136832561911663e-05"
"0.86007748279827012","7.8526960729363468e-05"
"0.86194917324770259","7.8916767133247511e-05"
"0.86381858639149423","7.9306242052877649e-05"
"0.86568568096078813","7.9695375496355203e-05"
"0.86755041417301759","8.0084157188162213e-05"
"0.86941274166829485","8.0472576556150544e-05"
"0.87127261744247553","8.0860622717890716e-05"
"0.87312999377669653","8.1248284466353473e-05"
"0.874984821163172","8.1635550254862644e-05"
"0.87683704822700015","8.2022408181288488e-05"
"0.87868662164350397","8.2408845971385108e-05"
"0.88053348605917969","8.2794850962958174e-05"
"0.88237758396962551","8.3180410081121688e-05"
"0.88421885567496072","8.3565509829851314e-05"
"0.8860572391328958","8.3950136262237829e-05"
"0.88789266987013793","8.4334274963042687e-05"
"0.88972508086586555","8.4717911025528449e-05"
"0.8915544024315526","8.5101029027651482e-05"
"0.89338056208404359","8.5483613006977679e-05"
"0.89520348441137965","8.5865646434227523e-05"
"0.89702309093089916","8.6247112185367159e-05"
"0.8988392999391166","8.6627992512144705e-05"
"0.90065202635284913","8.7008269010997361e-05"
"0.90246118154102417","8.7387922590197105e-05"
"0.9042666731465675","8.7766933435153621e-05"
"0.90606840489772833","8.8145280971751051e-05"
"0.90786627640815543","8.8522943827591905e-05"
"0.90966018296499673","8.8899899791027579e-05"
"0.91145001530424608","8.9276125767840211e-05"
"0.91323565937251083","8.9651597735426828e-05"
"0.91501699607432596","9.0026290694344242e-05"
"0.91679390100408331","9.0400178617054092e-05"
"0.9185662441615936","9.0773234393699118e-05"
"0.92033388965023921","9.1145429774743648e-05"
"0.92209669535661987","9.1516735310300532e-05"
"0.92385451322512291","9.1887120571781396e-05"
"0.92560718645646289","9.2256552942886606e-05"
"0.92735455275933887","9.262499925630254e-05"
"0.92909644153823645","9.2992424581197816e-05"
"0.93083267405878167","9.335879242646842e-05"
"0.93256306299044023","9.3724064656254511e-05"
"0.93428741192123133","9.4088201400637728e-05"
"0.93600551484328631","9.4451160961477404e-05"
"0.93771715560764057","9.4812899713170732e-05"
"0.93942210734719822","9.5173371998277117e-05"
"0.94112013186586563","9.5532530017748013e-05"
"0.94281097899295419","9.5890323715763998e-05"
"0.94449438590142187","9.6246700659095209e-05"
"0.94617007638890416","9.660160591098708e-05"
"0.94783776012067","9.6954981899668839e-05"
"0.9494971318339378","9.7306768281657646e-05"
"0.9511478705033668","9.7656901800139244e-05"
"0.95278963846803499","9.8005316138872223e-05"
"0.95442208052083544","9.8351941772222565e-05"
"0.95604482296199944","9.869670581213788e-05"
"0.95765747261941603","9.9039531853152297e-05"
"0.95925961583958941","9.9380339816788343e-05"
"0.96085081745450374","9.9719045797112872e-05"
"0.96243061973138044","0.00010005556190962116"
"0.96399854131436657","0.00010038979614614382"
"0.96555407616962163","0.0001007216522390646"
"0.96709669254813801","0.00010105102953882107"
"0.96862583198395746","0.00010137782290949815"
"0.97014090834930788","0.00010170192264819677"
"0.97164130699257112","0.0001020232144349356"
"0.9731263839899299","0.00010234157932097762"
"0.97459546554676146","0.0001026568937647265"
"0.97604784758749152","0.0001029690297249521"
"0.97748279682346062","0.00010327785509066241"
"0.97889954493823206","0.00010358323264862507"
"0.98029730073776511","0.00010388502294168158"
"0.98167523960016323","0.00010418308226144935"
"0.98303251060945707","0.00010447726447519636"
"0.98436823741792379","0.0001047674215291177"
"0.98568152096548645","0.00010505340438088338"
"0.98697144294175931","0.00010533506412331445"
"0.98823707009366424","0.00010561225332335583"
"0.98947746567520167","0.00010588482892285374"
"0.99069167097021349","0.0001061526487696842"
"0.99187874928463904","0.0001064155816016315"
"0.99303776994585236","0.00010667350415527199"
"0.99416782364111755","0.00010692630508229637"
"0.99526803272089004","0.00010717388782018808"
"0.99633756236008664","0.00010741617369501683"
"0.99737563241957905","0.0001076531052248938"
"0.99838152978690331","0.000107884649579366"
"0.99935462091869687","0.00010811080213829693"
"1.0002943642565783","0.00010833159008345785"
