node_id,donors_cm3,acceptors_cm3
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,1.8232884156743182e+20,1.5000000000000023e+18
256,1.823262893933296e+20,1.5000000000000023e+18
257,2.0000000000000052e+20,1.5000000000000023e+18
258,1.9999720047132305e+20,1.5000000000000023e+18
259,1.8228427577455739e+20,1.5000000000000023e+18
260,1.8219071903378463e+20,1.5000000000000023e+18
261,1.9995111492785e+20,1.5000000000000023e+18
262,1.9984849074621373e+20,1.5000000000000023e+18
263,1.8184933727929175e+20,1.5000000000000023e+18
264,1.9947402255834163e+20,1.5000000000000023e+18
265,1.8130330128205254e+20,1.5000000000000023e+18
266,1.9887506521013076e+20,1.5000000000000023e+18
267,1.7960533817485332e+20,1.5000000000000023e+18
268,1.970125369424101e+20,1.5000000000000023e+18
269,1.77119686605849e+20,1.5000000000000023e+18
270,1.9428597810768508e+20,1.5000000000000023e+18
271,1.6992771708578306e+20,1.5000000000000023e+18
272,1.8639696893257214e+20,1.5000000000000023e+18
273,1.6010241222561785e+20,1.5000000000000023e+18
274,1.7561940376438522e+20,1.5000000000000023e+18
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,2.0000000000000052e+20,1.5000000000000023e+18
284,1.9999720047132305e+20,1.5000000000000023e+18
285,1.9995111492785e+20,1.5000000000000023e+18
286,1.9984849074621373e+20,1.5000000000000023e+18
287,1.9947402255834163e+20,1.5000000000000023e+18
288,1.9887506521013076e+20,1.5000000000000023e+18
289,1.970125369424101e+20,1.5000000000000023e+18
290,1.9428597810768508e+20,1.5000000000000023e+18
291,1.8639696893257214e+20,1.5000000000000023e+18
292,1.7561940376438522e+20,1.5000000000000023e+18
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,2.0000000000000052e+20,1.5000000000000023e+18
301,1.9999720047132305e+20,1.5000000000000023e+18
302,1.9995111492785e+20,1.5000000000000023e+18
303,1.9984849074621373e+20,1.5000000000000023e+18
304,1.9947402255834163e+20,1.5000000000000023e+18
305,1.9887506521013076e+20,1.5000000000000023e+18
306,1.970125369424101e+20,1.5000000000000023e+18
307,1.9428597810768508e+20,1.5000000000000023e+18
308,1.8639696893257214e+20,1.5000000000000023e+18
309,1.7561940376438522e+20,1.5000000000000023e+18
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,2.0000000000007586e+20,1.5000000000000023e+18
335,1.9999720047139979e+20,1.5000000000000023e+18
336,2.0000000010239115e+20,1.5000000000000023e+18
337,1.9999720057371509e+20,1.5000000000000023e+18
338,1.999511149279253e+20,1.5000000000000023e+18
339,1.9984849074629041e+20,1.5000000000000023e+18
340,1.9995111503023977e+20,1.5000000000000023e+18
341,1.9984849084859921e+20,1.5000000000000023e+18
342,1.9947402255841673e+20,1.5000000000000023e+18
343,1.9947402266071243e+20,1.5000000000000023e+18
344,1.9887506521020567e+20,1.5000000000000023e+18
