node_id,donors_cm3,acceptors_cm3
136,10000000000000034,0
137,10000000000000034,0
138,10000000000000034,0
139,10000000000000034,0
140,10000000000000034,0
141,10000000000000034,0
142,10000000000000034,0
143,10000000000000034,0
144,10000000000000034,0
145,10000000000000034,0
146,10000000000000034,0
147,10000000000000034,0
148,10000000000000034,0
149,10000000000000034,0
150,10000000000000034,0
151,10000000000000034,0
152,10000000000000034,0
153,10000000000000034,0
154,10000000000000034,0
155,10000000000000034,0
156,10000000000000034,0
157,10000000000000034,0
158,10000000000000034,0
159,10000000000000034,0
160,10000000000000034,0
161,10000000000000034,0
162,10000000000000034,0
163,10000000000000034,0
164,10000000000000034,0
165,10000000000000034,0
166,10000000000000034,0
167,10000000000000034,0
168,10000000000000034,0
169,10000000000000034,0
170,10000000000000034,0
171,10000000000000034,0
172,10000000000000034,0
173,10000000000000034,0
174,10000000000000034,0
175,10000000000000034,0
176,10000000000000034,0
177,10000000000000034,0
178,10000000000000034,0
179,10000000000000034,0
180,10000000000000034,0
181,10000000000000034,0
182,10000000000000034,0
183,10000000000000034,0
184,10000000000000034,0
185,10000000000000034,0
186,10000000000000034,0
187,10000000000000034,0
188,10000000000000034,0
189,10000000000000034,0
190,10000000000000034,0
191,10000000000000034,0
192,10000000000000034,0
193,10000000000000034,0
194,10000000000000034,0
195,10000000000000034,0
196,10000000000000034,0
197,10000000000000034,0
198,10000000000000034,0
199,10000000000000034,0
200,10000000000000034,0
201,10000000000000034,0
202,10000000000000034,0
203,10000000000000034,0
204,10000000000000034,0
205,10000000000000034,0
206,10000000000000034,0
207,10000000000000034,0
208,10000000000000034,0
209,10000000000000034,0
210,10000000000000034,0
211,10000000000000034,0
212,10000000000000034,0
213,10000000000000034,0
214,10000000000000034,0
215,10000000000000034,0
216,10000000000000034,0
217,10000000000000034,0
218,10000000000000034,0
219,10000000000000034,0
220,10000000000000034,0
221,10000000000000034,0
222,10000000000000034,0
223,10000000000000034,0
224,10000000000000034,0
225,10000000000000034,0
226,10000000000000034,0
227,10000000000000034,0
228,10000000000000034,0
229,10000000000000034,0
230,10000000000000034,0
231,10000000000000034,0
232,10000000000000034,0
233,10000000000000034,0
234,10000000000000034,0
235,10000000000000034,0
236,10000000000000034,0
237,10000000000000034,0
238,10000000000000034,0
239,10000000000000034,0
240,10000000000000034,0
241,10000000000000034,0
242,10000000000000034,0
